"Date","Price","Open","High","Low","Vol.","Change %"
"09-02-2025","0.251104","0.252946","0.259893","0.248824","983.00M","-0.73%"
"08-02-2025","0.252946","0.246621","0.253949","0.244724","1.05B","2.56%"
"07-02-2025","0.246627","0.248048","0.261537","0.239082","2.07B","-0.58%"
"06-02-2025","0.248054","0.256025","0.265834","0.243517","1.84B","-3.11%"
"05-02-2025","0.256019","0.263625","0.269072","0.253752","1.63B","-2.87%"
"04-02-2025","0.263590","0.284918","0.288744","0.256045","4.11B","-7.49%"
"03-02-2025","0.284930","0.267879","0.292848","0.207265","10.04B","6.37%"
"02-02-2025","0.267872","0.308008","0.314694","0.253103","5.07B","-13.03%"
"01-02-2025","0.308015","0.328824","0.332099","0.303822","1.35B","-6.33%"
"31-01-2025","0.328821","0.331504","0.341224","0.323680","1.30B","-0.81%"
"30-01-2025","0.331504","0.323963","0.338698","0.322382","1.03B","2.33%"
"29-01-2025","0.323964","0.318723","0.333837","0.317061","1.46B","1.65%"
"28-01-2025","0.318709","0.333957","0.338927","0.315309","1.45B","-4.56%"
"27-01-2025","0.333943","0.335961","0.336952","0.307073","3.49B","-0.61%"
"26-01-2025","0.335993","0.353498","0.357257","0.335951","897.39M","-4.95%"
"25-01-2025","0.353498","0.350743","0.359857","0.345651","1.06B","0.78%"
"24-01-2025","0.350760","0.352033","0.364553","0.342994","1.45B","-0.36%"
"23-01-2025","0.352027","0.362521","0.364311","0.342190","2.18B","-2.90%"
"22-01-2025","0.362533","0.371904","0.373701","0.355575","2.15B","-2.59%"
"21-01-2025","0.372172","0.354466","0.398576","0.336012","6.36B","5.01%"
"20-01-2025","0.354433","0.358930","0.385857","0.345929","5.91B","-1.24%"
"19-01-2025","0.358882","0.396412","0.409852","0.350807","6.54B","-9.47%"
"18-01-2025","0.396427","0.415219","0.433456","0.386569","4.72B","-4.53%"
"17-01-2025","0.415219","0.376295","0.420669","0.375585","3.93B","10.34%"
"16-01-2025","0.376325","0.385484","0.389726","0.368338","2.84B","-2.39%"
"15-01-2025","0.385528","0.355792","0.387567","0.348547","2.92B","8.36%"
"14-01-2025","0.355792","0.338159","0.361556","0.335892","2.42B","5.21%"
"13-01-2025","0.338160","0.335841","0.345686","0.311998","2.74B","0.69%"
"12-01-2025","0.335835","0.341021","0.343300","0.331887","1.05B","-1.51%"
"11-01-2025","0.341000","0.333898","0.347992","0.329830","1.04B","2.13%"
"10-01-2025","0.333904","0.320827","0.339196","0.320827","2.26B","4.08%"
"09-01-2025","0.320826","0.342214","0.346704","0.314646","2.75B","-6.25%"
"08-01-2025","0.342228","0.347998","0.355228","0.324961","3.11B","-1.73%"
"07-01-2025","0.348266","0.387859","0.398011","0.348165","3.52B","-10.22%"
"06-01-2025","0.387892","0.382103","0.395092","0.376046","1.68B","1.52%"
"05-01-2025","0.382103","0.394823","0.397515","0.375976","1.48B","-3.21%"
"04-01-2025","0.394794","0.379676","0.398582","0.377149","2.55B","3.98%"
"03-01-2025","0.379674","0.338830","0.388925","0.335975","2.99B","12.06%"
"02-01-2025","0.338828","0.325009","0.344729","0.324650","2.23B","4.25%"
"01-01-2025","0.325016","0.315956","0.327222","0.311886","1.21B","2.86%"
"31-12-2024","0.315964","0.313853","0.328516","0.309553","1.68B","0.67%"
"30-12-2024","0.313868","0.314281","0.322951","0.306930","1.90B","-0.13%"
"29-12-2024","0.314269","0.324238","0.329441","0.311975","1.30B","-3.07%"
"28-12-2024","0.324226","0.311800","0.326986","0.311457","1.03B","3.99%"
"27-12-2024","0.311800","0.312739","0.324650","0.309023","1.63B","-0.30%"
"26-12-2024","0.312750","0.334255","0.337836","0.308611","1.85B","-6.43%"
"25-12-2024","0.334245","0.337011","0.341937","0.326731","1.83B","-0.82%"
"24-12-2024","0.337012","0.324850","0.340280","0.316234","2.30B","3.74%"
"23-12-2024","0.324847","0.312696","0.328482","0.303143","3.18B","3.89%"
"22-12-2024","0.312698","0.320071","0.324320","0.305317","3.08B","-2.31%"
"21-12-2024","0.320086","0.317773","0.349800","0.314287","5.03B","0.72%"
"20-12-2024","0.317795","0.314338","0.328813","0.264066","9.38B","1.11%"
"19-12-2024","0.314315","0.358599","0.367161","0.301553","7.48B","-12.35%"
"18-12-2024","0.358597","0.394218","0.396299","0.352967","3.76B","-9.04%"
"17-12-2024","0.394257","0.401914","0.410110","0.391316","2.09B","-1.91%"
"16-12-2024","0.401918","0.406540","0.414696","0.392510","2.35B","-1.08%"
"15-12-2024","0.406288","0.398366","0.410979","0.392734","1.56B","1.99%"
"14-12-2024","0.398364","0.408853","0.413932","0.387741","1.97B","-2.57%"
"13-12-2024","0.408852","0.406093","0.412081","0.399662","2.50B","0.67%"
"12-12-2024","0.406118","0.414197","0.423948","0.401623","3.39B","-1.96%"
"11-12-2024","0.414218","0.393944","0.418922","0.375805","4.15B","5.07%"
"10-12-2024","0.394237","0.414676","0.422706","0.366279","7.18B","-4.93%"
"09-12-2024","0.414694","0.466621","0.466790","0.388145","7.28B","-11.13%"
"08-12-2024","0.466631","0.453130","0.483816","0.447472","4.58B","2.98%"
"07-12-2024","0.453147","0.434834","0.465866","0.431150","4.70B","4.21%"
"06-12-2024","0.434837","0.427072","0.441420","0.420120","3.88B","1.75%"
"05-12-2024","0.427350","0.432042","0.464120","0.408226","8.85B","-1.08%"
"04-12-2024","0.432015","0.406428","0.435813","0.400293","5.02B","6.28%"
"03-12-2024","0.406497","0.424805","0.429187","0.389852","5.80B","-4.32%"
"02-12-2024","0.424857","0.440332","0.461950","0.402883","7.50B","-3.40%"
"01-12-2024","0.439833","0.421669","0.449566","0.416850","4.63B","4.32%"
"30-11-2024","0.421638","0.425917","0.434848","0.414123","3.38B","-1.00%"
"29-11-2024","0.425884","0.401559","0.436868","0.399598","4.32B","6.06%"
"28-11-2024","0.401545","0.401057","0.428533","0.391522","3.68B","0.13%"
"27-11-2024","0.401031","0.387385","0.407523","0.380561","4.11B","3.52%"
"26-11-2024","0.387381","0.392549","0.408482","0.366194","5.53B","-1.32%"
"25-11-2024","0.392579","0.430595","0.436387","0.381113","5.96B","-8.84%"
"24-11-2024","0.430647","0.430201","0.453263","0.400148","6.76B","0.12%"
"23-11-2024","0.430151","0.412908","0.479759","0.404847","11.49B","4.19%"
"22-11-2024","0.412855","0.386658","0.419379","0.381154","8.14B","6.78%"
"21-11-2024","0.386658","0.377724","0.394993","0.369093","5.32B","2.37%"
"20-11-2024","0.377709","0.390687","0.396236","0.365567","5.14B","-3.31%"
"19-11-2024","0.390656","0.371238","0.419794","0.367237","8.18B","5.23%"
"18-11-2024","0.371238","0.366938","0.380355","0.358051","5.68B","1.23%"
"17-11-2024","0.366740","0.363960","0.374408","0.340196","5.14B","0.77%"
"16-11-2024","0.363953","0.381300","0.391017","0.360671","4.93B","-4.55%"
"15-11-2024","0.381300","0.362314","0.384656","0.353940","8.11B","5.27%"
"14-11-2024","0.362221","0.399322","0.414568","0.353583","9.35B","-9.29%"
"13-11-2024","0.399327","0.379912","0.430831","0.355127","16.78B","5.10%"
"12-11-2024","0.379953","0.350381","0.436869","0.330961","22.95B","8.45%"
"11-11-2024","0.350360","0.277409","0.350360","0.274043","14.68B","26.24%"
"10-11-2024","0.277531","0.218940","0.297399","0.216676","13.78B","26.77%"
"09-11-2024","0.218925","0.202031","0.219905","0.197541","4.72B","8.37%"
"08-11-2024","0.202020","0.193221","0.207006","0.190690","4.64B","4.56%"
"07-11-2024","0.193213","0.196462","0.203925","0.185891","5.11B","-1.65%"
"06-11-2024","0.196462","0.169999","0.216089","0.169212","14.23B","15.57%"
"05-11-2024","0.169996","0.158388","0.178952","0.158104","5.49B","7.33%"
"04-11-2024","0.158390","0.151299","0.160008","0.148306","3.70B","4.68%"
"03-11-2024","0.151302","0.159470","0.159745","0.142269","3.27B","-5.11%"
"02-11-2024","0.159457","0.159130","0.163558","0.155709","1.86B","0.21%"
"01-11-2024","0.159130","0.161567","0.168637","0.154175","3.37B","-1.52%"
"31-10-2024","0.161578","0.168259","0.173493","0.156567","2.98B","-3.98%"
"30-10-2024","0.168267","0.175981","0.177731","0.164596","3.16B","-4.39%"
"29-10-2024","0.175994","0.161418","0.179568","0.160626","5.46B","9.14%"
"28-10-2024","0.161251","0.144233","0.162447","0.141148","4.73B","11.79%"
"27-10-2024","0.144247","0.137418","0.146070","0.136066","1.71B","4.97%"
"26-10-2024","0.137423","0.131621","0.138061","0.130801","1.34B","4.30%"
"25-10-2024","0.131764","0.141863","0.142633","0.128154","2.37B","-7.13%"
"24-10-2024","0.141877","0.140062","0.143726","0.136470","1.96B","1.30%"
"23-10-2024","0.140055","0.139747","0.140864","0.133417","2.28B","0.30%"
"22-10-2024","0.139640","0.143629","0.148411","0.136618","2.64B","-2.79%"
"21-10-2024","0.143643","0.142235","0.149690","0.138237","3.34B","0.96%"
"20-10-2024","0.142272","0.144024","0.145449","0.137351","2.19B","-1.23%"
"19-10-2024","0.144048","0.137139","0.146721","0.137090","3.05B","5.04%"
"18-10-2024","0.137139","0.129665","0.140699","0.129609","3.92B","5.78%"
"17-10-2024","0.129641","0.125769","0.130657","0.120647","3.03B","3.08%"
"16-10-2024","0.125766","0.117492","0.129538","0.115812","4.60B","7.05%"
"15-10-2024","0.117484","0.116705","0.119170","0.110309","2.60B","0.66%"
"14-10-2024","0.116709","0.111387","0.117623","0.109352","2.09B","4.77%"
"13-10-2024","0.111390","0.111376","0.112089","0.108744","874.70M","0.00%"
"12-10-2024","0.111392","0.110745","0.112092","0.109419","843.69M","0.59%"
"11-10-2024","0.110740","0.106016","0.111373","0.105670","1.14B","4.46%"
"10-10-2024","0.106011","0.107911","0.108602","0.103260","1.33B","-1.76%"
"09-10-2024","0.107913","0.107117","0.111425","0.106268","1.42B","0.74%"
"08-10-2024","0.107126","0.108462","0.109832","0.105380","1.23B","-1.23%"
"07-10-2024","0.108456","0.111560","0.115369","0.108429","2.03B","-2.78%"
"06-10-2024","0.111561","0.109528","0.112764","0.108458","881.32M","1.86%"
"05-10-2024","0.109529","0.109377","0.110368","0.107641","867.19M","0.14%"
"04-10-2024","0.109381","0.105055","0.110547","0.104848","1.46B","4.11%"
"03-10-2024","0.105067","0.104619","0.106787","0.101238","1.87B","0.43%"
"02-10-2024","0.104620","0.106896","0.109466","0.102336","1.97B","-2.13%"
"01-10-2024","0.106898","0.114316","0.119318","0.102769","2.89B","-6.50%"
"30-09-2024","0.114332","0.124480","0.124591","0.113550","1.88B","-8.16%"
"29-09-2024","0.124491","0.128139","0.130334","0.124491","1.48B","-2.89%"
"28-09-2024","0.128195","0.123534","0.131880","0.120343","2.61B","3.77%"
"27-09-2024","0.123542","0.118104","0.128475","0.117043","2.59B","4.60%"
"26-09-2024","0.118103","0.108515","0.120265","0.107049","2.60B","8.84%"
"25-09-2024","0.108516","0.109738","0.111077","0.108054","1.38B","-1.10%"
"24-09-2024","0.109726","0.108039","0.110491","0.106864","1.35B","1.56%"
"23-09-2024","0.108036","0.106355","0.109153","0.104232","1.34B","1.59%"
"22-09-2024","0.106344","0.109912","0.109921","0.103862","909.92M","-3.25%"
"21-09-2024","0.109916","0.105536","0.110378","0.104056","1.08B","4.15%"
"20-09-2024","0.105535","0.104966","0.107421","0.103654","1.32B","0.55%"
"19-09-2024","0.104962","0.103762","0.107066","0.103471","1.48B","1.18%"
"18-09-2024","0.103742","0.101142","0.103773","0.099419","1.21B","2.57%"
"17-09-2024","0.101142","0.099662","0.102505","0.098722","1.19B","1.50%"
"16-09-2024","0.099647","0.102830","0.103175","0.098383","1.14B","-3.11%"
"15-09-2024","0.102841","0.105400","0.106382","0.102379","872.38M","-2.43%"
"14-09-2024","0.105397","0.107040","0.107614","0.104476","1.10B","-1.54%"
"13-09-2024","0.107041","0.102729","0.108327","0.101804","1.69B","4.19%"
"12-09-2024","0.102732","0.101311","0.103302","0.100458","1.10B","1.39%"
"11-09-2024","0.101326","0.102801","0.103043","0.098016","1.21B","-1.42%"
"10-09-2024","0.102781","0.103766","0.104522","0.101611","1.06B","-0.93%"
"09-09-2024","0.103751","0.096138","0.104652","0.095731","1.75B","7.93%"
"08-09-2024","0.096127","0.095399","0.096931","0.093895","857.55M","0.76%"
"07-09-2024","0.095399","0.092562","0.095668","0.091761","1.13B","3.07%"
"06-09-2024","0.092559","0.098408","0.099426","0.089110","1.95B","-5.95%"
"05-09-2024","0.098411","0.097992","0.099162","0.096074","1.09B","0.44%"
"04-09-2024","0.097979","0.096752","0.099475","0.092184","1.56B","1.25%"
"03-09-2024","0.096770","0.099114","0.100706","0.096612","963.92M","-2.36%"
"02-09-2024","0.099108","0.095084","0.099769","0.094115","1.12B","4.23%"
"01-09-2024","0.095087","0.101282","0.101473","0.094165","1.00B","-6.12%"
"31-08-2024","0.101281","0.101741","0.102359","0.100365","722.19M","-0.46%"
"30-08-2024","0.101753","0.100429","0.102456","0.097209","1.42B","1.32%"
"29-08-2024","0.100430","0.099594","0.102518","0.098351","1.10B","0.83%"
"28-08-2024","0.099601","0.099011","0.101761","0.097004","1.71B","0.60%"
"27-08-2024","0.099007","0.105207","0.106498","0.096634","1.59B","-5.90%"
"26-08-2024","0.105210","0.109710","0.110297","0.104530","1.25B","-4.11%"
"25-08-2024","0.109723","0.112592","0.112800","0.107946","1.29B","-2.55%"
"24-08-2024","0.112591","0.112896","0.114951","0.110899","1.77B","-0.27%"
"23-08-2024","0.112895","0.105254","0.115271","0.105239","2.03B","7.27%"
"22-08-2024","0.105246","0.106151","0.106864","0.104113","956.06M","-0.85%"
"21-08-2024","0.106150","0.102926","0.107868","0.102227","1.21B","3.14%"
"20-08-2024","0.102921","0.101330","0.105616","0.101112","1.73B","1.57%"
"19-08-2024","0.101331","0.100068","0.101773","0.098616","1.18B","1.28%"
"18-08-2024","0.100048","0.102769","0.104394","0.100039","937.83M","-2.64%"
"17-08-2024","0.102765","0.100328","0.103661","0.100006","802.44M","2.43%"
"16-08-2024","0.100324","0.100200","0.102042","0.097624","1.42B","0.14%"
"15-08-2024","0.100182","0.102449","0.104825","0.098005","1.53B","-2.22%"
"14-08-2024","0.102455","0.106381","0.106801","0.101566","1.31B","-3.69%"
"13-08-2024","0.106382","0.107893","0.109013","0.103422","1.38B","-1.39%"
"12-08-2024","0.107881","0.100514","0.108489","0.100219","1.98B","7.33%"
"11-08-2024","0.100514","0.105204","0.110959","0.100201","1.77B","-4.45%"
"10-08-2024","0.105198","0.103865","0.105894","0.102944","996.77M","1.28%"
"09-08-2024","0.103870","0.107431","0.107724","0.101685","1.61B","-3.32%"
"08-08-2024","0.107440","0.095559","0.107893","0.093657","2.13B","12.55%"
"07-08-2024","0.095457","0.096482","0.101903","0.094394","2.50B","-1.08%"
"06-08-2024","0.096499","0.094181","0.101345","0.094154","2.91B","2.47%"
"05-08-2024","0.094175","0.103746","0.104215","0.080549","9.24B","-9.22%"
"04-08-2024","0.103745","0.108123","0.109330","0.099323","2.12B","-4.04%"
"03-08-2024","0.108115","0.111579","0.114659","0.105290","2.09B","-3.10%"
"02-08-2024","0.111578","0.119142","0.119684","0.110312","1.90B","-6.34%"
"01-08-2024","0.119135","0.121921","0.123089","0.112390","1.90B","-2.28%"
"31-07-2024","0.121920","0.125489","0.127296","0.121379","1.32B","-2.84%"
"30-07-2024","0.125486","0.128437","0.130429","0.123399","1.38B","-2.30%"
"29-07-2024","0.128439","0.130045","0.135009","0.127809","1.72B","-1.24%"
"28-07-2024","0.130048","0.131314","0.131799","0.128186","1.46B","-0.94%"
"27-07-2024","0.131284","0.134183","0.138702","0.130734","2.34B","-2.18%"
"26-07-2024","0.134203","0.125259","0.134921","0.125143","1.65B","7.13%"
"25-07-2024","0.125274","0.127923","0.128683","0.120233","2.02B","-2.08%"
"24-07-2024","0.127940","0.130296","0.134727","0.126995","1.50B","-1.81%"
"23-07-2024","0.130293","0.137851","0.139158","0.128346","2.11B","-5.48%"
"22-07-2024","0.137852","0.140197","0.142431","0.136006","2.72B","-1.67%"
"21-07-2024","0.140196","0.134238","0.143452","0.126127","2.51B","4.44%"
"20-07-2024","0.134242","0.125473","0.135723","0.124327","2.48B","6.99%"
"19-07-2024","0.125473","0.119541","0.125990","0.117534","1.73B","4.96%"
"18-07-2024","0.119540","0.121782","0.123810","0.117235","1.65B","-1.84%"
"17-07-2024","0.121783","0.124781","0.127543","0.120392","1.65B","-2.41%"
"16-07-2024","0.124786","0.124890","0.127570","0.119090","2.08B","-0.10%"
"15-07-2024","0.124911","0.115427","0.125393","0.114598","1.94B","8.21%"
"14-07-2024","0.115437","0.112294","0.116825","0.111171","1.52B","2.80%"
"13-07-2024","0.112298","0.107661","0.112889","0.107296","1.41B","4.32%"
"12-07-2024","0.107650","0.106633","0.108296","0.104917","1.29B","0.95%"
"11-07-2024","0.106634","0.108001","0.112287","0.106191","1.40B","-1.28%"
"10-07-2024","0.108018","0.107540","0.110481","0.105807","1.48B","0.43%"
"09-07-2024","0.107558","0.107574","0.109357","0.105887","1.55B","-0.05%"
"08-07-2024","0.107609","0.104119","0.111176","0.098895","2.57B","3.34%"
"07-07-2024","0.104132","0.113460","0.113466","0.103649","1.68B","-8.25%"
"06-07-2024","0.113500","0.105457","0.114124","0.104777","2.08B","7.64%"
"05-07-2024","0.105447","0.104933","0.106529","0.092635","4.65B","0.50%"
"04-07-2024","0.104926","0.118472","0.119096","0.104001","2.93B","-11.44%"
"03-07-2024","0.118480","0.125251","0.125517","0.117026","1.49B","-5.40%"
"02-07-2024","0.125237","0.123491","0.125295","0.122519","753.53M","1.41%"
"01-07-2024","0.123492","0.124428","0.127425","0.123286","648.84M","-0.76%"
"30-06-2024","0.124432","0.121851","0.125579","0.120483","479.49M","2.12%"
"29-06-2024","0.121851","0.123004","0.124332","0.121445","348.04M","-0.94%"
"28-06-2024","0.123004","0.127055","0.128351","0.122315","1.12B","-3.19%"
"27-06-2024","0.127054","0.122737","0.128243","0.120637","1.17B","3.53%"
"26-06-2024","0.122722","0.126151","0.128604","0.121867","914.50M","-2.72%"
"25-06-2024","0.126148","0.119001","0.128313","0.118836","1.46B","6.00%"
"24-06-2024","0.119002","0.122182","0.123893","0.114531","1.80B","-2.60%"
"23-06-2024","0.122182","0.123756","0.126249","0.121592","699.27M","-1.27%"
"22-06-2024","0.123760","0.124141","0.125519","0.122932","537.25M","-0.31%"
"21-06-2024","0.124141","0.124502","0.125656","0.121457","1.03B","-0.29%"
"20-06-2024","0.124501","0.122474","0.128472","0.121427","1.22B","1.65%"
"19-06-2024","0.122474","0.122231","0.126620","0.121445","1.21B","0.20%"
"18-06-2024","0.122231","0.128779","0.129195","0.114298","3.07B","-5.09%"
"17-06-2024","0.128789","0.137118","0.138141","0.126215","2.02B","-6.07%"
